"","conduct_problems","child_age","white","female","region","trait_anger","trait_physical","trait_verbal","trait_hostility","game_violent_time","game_time","game_one_time","game_two_time","game_three_time","rc_game_01_violence_PEGI","rc_game_02_violence_PEGI","rc_game_03_violence_PEGI"
"1",5,14,1,NA,1,1,1,1,1.33333333333333,1,1.5,0.5,0.5,0.5,1,NA,1
"2",6,15,1,NA,10,2,1,1.33333333333333,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"3",5,14,1,NA,8,2.66666666666667,1.33333333333333,3,3.66666666666667,2,NA,1,1,NA,1,1,NA
"4",9,14,1,0,9,3.33333333333333,2.33333333333333,3.33333333333333,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA
"5",6,14,1,0,4,3,2.33333333333333,3.66666666666667,3,1,NA,1,0.5,NA,1,NA,NA
"6",8,15,1,0,3,1,1,1,1.33333333333333,1,3,1,1,1,1,NA,NA
"7",5,14,1,0,2,1.66666666666667,1,1.66666666666667,3,NA,NA,NA,NA,NA,NA,NA,NA
"8",6,15,1,0,9,1.33333333333333,2.66666666666667,1.33333333333333,2,6,6,2,2,2,1,1,1
"9",14,14,1,0,11,2.66666666666667,3.33333333333333,2.66666666666667,2.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"10",12,15,1,0,9,4,3.66666666666667,4.33333333333333,4,7,7,2,2,3,1,1,1
"11",6,15,1,0,6,1,3,2.33333333333333,2.33333333333333,1,1.5,0.5,0.5,0.5,1,NA,1
"12",7,14,1,0,10,3,1.66666666666667,2,2.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,15,1,0,10,1,1,2.33333333333333,3.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"14",6,15,1,0,8,2,1.66666666666667,2,1,0,NA,1,NA,NA,NA,NA,NA
"15",5,15,1,0,8,1,1,1.66666666666667,2,NA,NA,NA,NA,NA,NA,NA,NA
"16",7,15,1,0,10,3.33333333333333,1.33333333333333,3,3,4,6,1,2,3,1,NA,1
"17",5,14,1,0,3,1.66666666666667,1,1.33333333333333,2.33333333333333,6,6,2,2,2,1,1,1
"18",11,14,1,0,9,4,3.66666666666667,4,3,0,NA,0.5,NA,NA,NA,NA,NA
"19",8,15,1,0,9,3.33333333333333,3.66666666666667,3.66666666666667,3.33333333333333,1,NA,1,NA,NA,1,NA,NA
"20",8,15,1,0,8,2.66666666666667,3.33333333333333,3.66666666666667,4.33333333333333,4.5,4.5,2,2,0.5,1,1,1
"21",12,15,1,0,9,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA
"22",5,15,1,0,5,2,2.66666666666667,2.66666666666667,2.33333333333333,4,5,1,2,2,NA,1,1
"23",5,15,1,0,10,1,1,1.66666666666667,2.66666666666667,3,NA,3,NA,NA,1,NA,NA
"24",7,14,1,0,8,1,1,1,1,0,NA,0.5,NA,NA,NA,NA,NA
"25",5,15,1,0,4,2,2,2.66666666666667,2,2,2,0.5,1,0.5,1,1,1
"26",6,14,0,0,9,1,1,1.33333333333333,1.33333333333333,0,NA,1,NA,NA,NA,NA,NA
"27",5,14,1,0,3,3,3.66666666666667,3,4.33333333333333,NA,NA,NA,NA,NA,NA,NA,NA
"28",7,15,1,0,3,1.66666666666667,1,1.33333333333333,2.33333333333333,2,3.5,0.5,1,2,NA,NA,1
"29",5,14,1,0,10,2,2.33333333333333,2.33333333333333,3,2,2,0.5,1,0.5,1,1,1
"30",5,15,1,0,9,1,1,1,1.66666666666667,0,NA,2,NA,NA,NA,NA,NA
"31",5,14,1,0,8,1.66666666666667,1.33333333333333,1,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA
"32",8,14,1,0,9,3.66666666666667,3.33333333333333,3.66666666666667,3.33333333333333,2,NA,2,NA,NA,1,NA,NA
"33",12,14,1,0,5,4.33333333333333,4.66666666666667,4,4.33333333333333,4,NA,3,4,NA,NA,1,NA
"34",6,14,1,0,3,1.33333333333333,1,1.33333333333333,2.66666666666667,2,NA,2,NA,NA,1,NA,NA
"35",11,14,1,0,3,4,3.66666666666667,4.66666666666667,4.33333333333333,5,NA,5,NA,NA,1,NA,NA
"36",10,15,1,0,6,3.33333333333333,2.33333333333333,2.66666666666667,2,2,3,1,1,1,1,NA,1
"37",6,15,1,0,1,2,2,2,2,2,2,1,0.5,0.5,1,1,1
"38",6,15,0,0,9,3,2.66666666666667,2.33333333333333,3,2,NA,2,2,NA,NA,1,NA
"39",12,14,1,0,9,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"40",12,15,1,0,9,5,5,3.66666666666667,5,NA,NA,0.5,NA,NA,NA,NA,NA
"41",5,14,1,0,3,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"42",7,15,1,0,9,2.66666666666667,1.66666666666667,2.66666666666667,3,0,NA,0.5,NA,NA,NA,NA,NA
"43",7,14,1,0,8,1.33333333333333,1.33333333333333,2,2,1.5,3.5,0.5,2,1,1,NA,1
"44",8,14,1,0,5,1.66666666666667,2.33333333333333,2,2,1.5,2,0.5,0.5,1,NA,1,1
"45",13,14,1,0,9,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA
"46",13,15,1,0,9,3.66666666666667,4.66666666666667,4.66666666666667,4.33333333333333,3,NA,3,NA,NA,1,NA,NA
"47",13,15,1,0,9,4.66666666666667,4.33333333333333,4.66666666666667,3.66666666666667,NA,NA,2,NA,NA,NA,NA,NA
"48",10,15,1,0,10,3.33333333333333,2.66666666666667,5,5,5,5,3,1,1,1,1,1
"49",6,15,1,0,3,3.33333333333333,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"50",6,14,1,0,9,2.66666666666667,2.66666666666667,2,2.66666666666667,0,NA,0.5,NA,NA,NA,NA,NA
"51",7,14,1,0,3,4,4.33333333333333,4.33333333333333,3.66666666666667,3,NA,3,NA,NA,1,NA,NA
"52",13,14,1,0,9,3.33333333333333,5,3,2.33333333333333,5,NA,5,NA,NA,1,NA,NA
"53",7,15,0,0,5,2,2,2.33333333333333,3,1,NA,0.5,1,NA,NA,1,NA
"54",5,14,1,0,3,1.66666666666667,1,1,1.66666666666667,1.5,8.5,1,7,0.5,1,NA,1
"55",5,14,1,0,9,1.66666666666667,1,1,1.33333333333333,1,NA,1,NA,NA,1,NA,NA
"56",5,14,1,0,8,2,2,2,2,1.5,2,0.5,1,0.5,1,1,NA
"57",5,14,1,0,8,2,2,1.66666666666667,1.66666666666667,1,NA,1,NA,NA,1,NA,NA
"58",5,14,1,0,9,1.66666666666667,1.33333333333333,1.33333333333333,1.33333333333333,1,NA,1,NA,NA,1,NA,NA
"59",5,15,1,0,10,1.66666666666667,1,1.66666666666667,1,4,4,2,1,1,1,1,1
"60",5,14,1,0,9,1.66666666666667,1,1,1.33333333333333,1,NA,1,NA,NA,1,NA,NA
"61",5,14,1,0,9,2.66666666666667,1.33333333333333,2,2,1,NA,1,NA,NA,1,NA,NA
"62",7,14,1,0,2,3,3.33333333333333,4,4.33333333333333,0,NA,2,NA,NA,NA,NA,NA
"63",9,15,1,0,4,2.33333333333333,2.33333333333333,2,2,5,5,2,1,2,1,1,1
"64",6,14,0,0,9,1.33333333333333,1.66666666666667,1.66666666666667,1.66666666666667,0.5,NA,0.5,NA,NA,1,NA,NA
"65",8,15,1,0,9,4,4.33333333333333,3,3.33333333333333,NA,NA,3,NA,NA,NA,NA,NA
"66",6,14,1,0,3,1.66666666666667,1,2.33333333333333,2.33333333333333,1,NA,1,2,NA,1,NA,NA
"67",12,15,1,0,10,5,4.33333333333333,4.66666666666667,4.33333333333333,NA,NA,4,NA,NA,NA,NA,NA
"68",6,14,1,0,1,1,1,2.33333333333333,1,NA,NA,NA,NA,NA,NA,NA,NA
"69",10,14,1,0,2,3,2,2.33333333333333,3,1,1.5,1,0,0.5,1,1,NA
"70",6,14,1,0,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"71",5,15,1,0,8,1,1,1,1,1.5,2.5,1,0.5,1,NA,1,1
"72",6,14,1,0,5,2.66666666666667,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA
"73",8,15,1,0,9,3.33333333333333,3.33333333333333,3.66666666666667,4,5,9,4,4,1,1,NA,1
"74",12,14,1,0,1,4,3.66666666666667,2.66666666666667,3.33333333333333,7,NA,4,3,NA,1,1,NA
"75",6,14,1,0,5,1.33333333333333,1,1.66666666666667,1.33333333333333,0,NA,0.5,NA,NA,NA,NA,NA
"76",5,14,1,0,8,1,2.33333333333333,1.33333333333333,1.66666666666667,4,9,3,4,2,NA,1,NA
"77",11,15,1,0,3,3.33333333333333,3.66666666666667,3.66666666666667,2.66666666666667,1,NA,1,1,NA,1,NA,NA
"78",5,15,1,0,5,2,3,2.33333333333333,2.66666666666667,0,2,0.5,0.5,1,NA,NA,NA
"79",5,14,1,0,9,3,2.33333333333333,2.33333333333333,3,5,NA,3,2,NA,1,1,NA
"80",5,15,1,0,10,1,1,1,1,0,NA,0.5,NA,NA,NA,NA,NA
"81",5,15,1,0,7,2,1.33333333333333,2.33333333333333,2.66666666666667,2,NA,2,1,NA,1,NA,NA
"82",5,14,1,0,9,1.66666666666667,1,2,2.33333333333333,1,1.5,0.5,0.5,0.5,1,NA,1
"83",10,15,1,0,10,5,5,4.66666666666667,4.66666666666667,1,NA,0.5,0.5,NA,1,1,NA
"84",5,14,1,0,10,1,1,1.33333333333333,1,NA,NA,NA,NA,NA,NA,NA,NA
