x1,geo,pct_poverty_married,pct_labor_force,pct_unemployed,pct_not_in_labor_force,pct_female_labor_force,pct_parents_lf_under6,pct_parents_lf_6_17,pct_work_from_home,est_commute_time_min,pct_mgmt_occ,pct_service_occ,pct_manufacturing,pct_health_edu,pct_private_workers,pct_gov_workers,pct_self_employed,est_median_hh_income,est_mean_hh_income,est_per_capita_income,est_median_nonfamily_income,est_male_earnings,est_female_earnings,pct_ssi,pct_public_assistance,pct_snap,pct_poverty_all,pct_poverty_female_head,pct_poverty_18_64,pct_private_insurance,pct_uninsured,year,gdp_per_capita,gdp_pc_growth,post_covid
1,Alabama,6.5,57.7,4.9,42.3,52.3,63.8,68.2,2.9,24.3,32.9,17.1,14,22.1,78.7,16,5.2,42830,59464,23606,24240,44245,32136,6.8,1.7,15.8,15,39.4,18.1,65.7,12.1,2014,42543.59805249542,NA,0
53,Alabama,6,56.9,4.1,43.1,51.9,65.9,68.3,3.2,24.6,33.9,16.3,14.3,22.5,80,14.9,4.9,44765,62307,24769,25214,45057,34310,6.6,1.6,15.5,13.7,36.7,17.6,66.9,10.1,2015,43039.91325703638,1.166603736544669,0
105,Alabama,5.9,57.3,3.6,42.7,52.9,65.8,68.7,3.3,24.6,34.2,16.7,14.1,22.4,79.2,15.4,5.2,46257,64632,25810,25741,47034,35012,6.9,1.6,14.6,12.7,33.4,16.2,67.9,9.1,2016,43737.51752683064,1.6208310310202867,0
157,Alabama,5.4,56.5,3.3,43.5,51.6,62.7,69.4,3.4,24.6,34.8,16.7,14.3,22.4,80,14.6,5.2,48123,66337,26498,26647,48199,35414,7.1,1.6,14,12.8,35.2,15.9,66.9,9.4,2017,44406.72170437449,1.5300460917410996,0
209,Alabama,5.4,56.8,3.2,43.2,51.8,65.3,69.5,3.5,25.2,35.2,16,14.1,22.3,79.3,14.9,5.6,49861,69091,27525,26208,49210,35854,6.9,1.5,13.3,12.2,34.8,16,66.6,10,2018,45140.14557116772,1.6516055197134172,0
261,Alabama,5.1,58,2.8,42,52.6,65.9,70.6,3.4,25.4,35.9,16.5,14.5,22.5,78.5,16.2,5.1,51734,71478,28650,29458,50018,37161,6.5,1.4,13,11.2,29.7,14.7,66.9,9.7,2019,45899.43082316194,1.682062036767551,0
313,Alabama,5.1,57.7,3.1,42.3,52.9,65.5,69.8,9.6,25.3,37.3,15.8,13.8,23,78.2,16.2,5.5,53913,75923,30608,30575,52177,39338,6.5,1.9,14.1,11.7,32.5,15.3,66.4,9.9,2021,46326.41842925368,0.9302677580835583,1
365,Alabama,5.4,58.6,2.5,41.4,53.6,66.2,69.6,8.9,25.4,37.7,15.8,14,22.3,77.9,16.5,5.4,59674,82956,33777,32330,55721,41951,6.6,1.6,14.1,12,31.8,15.4,67,8.8,2022,47243.02463644909,1.978582066721124,1
417,Alabama,4.7,58.6,2.3,41.4,54.2,66.2,71.4,8.8,25.5,39.7,14.9,14.6,22.9,77.5,16.8,5.5,62212,85530,35046,34218,58026,42981,6.3,1.7,13.8,11.3,32.1,14.6,67.1,8.5,2023,48519.14378107995,2.7011800248841533,1
469,Alabama,4.8,59.2,2.5,40.8,54.2,69,71.9,8.3,26,39.8,15,14,22.9,77.2,17.1,5.6,66659,90741,36940,37952,61286,46985,6.4,1.4,13.1,10.9,29.5,14,67.5,8.2,2024,49511.26803801238,2.044809903095013,1
2,Alaska,3.9,70,5.1,30,63.8,58.6,69,3.9,18.3,35.8,18.6,3.2,22.5,68.1,25.3,6.4,71583,89094,33062,48029,57318,46288,4.4,5.5,10.3,7.9,22,10.5,65.6,17.2,2014,72317.3354136282,NA,0
